[2026/01/18 23:06:35] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:06:37] : Normal : CPU - 0.4 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:06:39] : Normal : CPU - 0.6 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:06:41] : Normal : CPU - 0.4 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:06:43] : Normal : CPU - 0.4 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:06:45] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:06:47] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:06:49] : Normal : CPU - 0.3 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:06:51] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:06:53] : Normal : CPU - 0.4 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:06:55] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:06:57] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:06:59] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:01] : Normal : CPU - 0.6 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:03] : Normal : CPU - 0.4 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:05] : Normal : CPU - 0.1 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:07] : Normal : CPU - 0.4 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:09] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:11] : Normal : CPU - 0.4 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:13] : Normal : CPU - 0.4 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:15] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:17] : Normal : CPU - 0.7 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:19] : Normal : CPU - 0.6 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:21] : Normal : CPU - 0.6 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:23] : Normal : CPU - 0.6 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:25] : Normal : CPU - 0.6 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:27] : Normal : CPU - 0.9 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:29] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:31] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:33] : Normal : CPU - 0.2 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:35] : Normal : CPU - 0.4 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:37] : Normal : CPU - 0.7 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:39] : Normal : CPU - 0.7 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:41] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:43] : Normal : CPU - 0.6 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:45] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:47] : Normal : CPU - 0.5 | MEM - 8.4 | DISK - 0.3
[2026/01/18 23:07:49] : Normal : CPU - 0.6 | MEM - 8.4 | DISK - 0.3
